# 1 x                          2 y                    3 number IS              4 number viruses               5 viral fitness
         2110.00000        -1986.00000               3818                  2           -0.08818
         2119.00000        -1985.00000               6474                153           -0.00927
         2112.00000        -1975.00000              15451                 10           -0.05686
         2125.00000        -1984.00000                162                 20            0.04528
         2113.00000        -1978.00000              48546                 25           -0.05696
         2112.00000        -1986.00000               4827                 15           -0.07118
         2124.00000        -1986.00000                 52                  5            0.03633
         2116.00000        -1985.00000              19483                114           -0.03661
         2108.00000        -1977.00000             219996                 16           -0.09583
         2121.00000        -1986.00000                837                 25            0.00932
         2112.00000        -1974.00000               6868                 26           -0.05348
         2114.00000        -1983.00000             172954                326           -0.05488
         2108.00000        -1971.00000               1120                  4           -0.07311
         2122.00000        -1987.00000                111                  5            0.01875
         2110.00000        -1983.00000              15614                 13           -0.08907
         2125.00000        -1976.00000                 10                  2            0.05366
         2117.00000        -1989.00000                859                 12           -0.02419
         2117.00000        -1992.00000                  1                  4           -0.01992
         2113.00000        -1975.00000              10638                 55           -0.04853
         2114.00000        -1985.00000              43753                108           -0.05446
         2116.00000        -1978.00000              48141                498           -0.03068
         2110.00000        -1974.00000              10655                 12           -0.06967
         2107.00000        -1979.00000             205638                  3           -0.10898
         2119.00000        -1980.00000              81779               1375           -0.00688
         2120.00000        -1974.00000                305                  2            0.01456
         2117.00000        -1983.00000             152624                661           -0.02775
         2118.00000        -1978.00000              95695               1106           -0.01269
         2114.00000        -1980.00000              76952                174           -0.05229
         2122.00000        -1985.00000               1022                 53            0.01816
         2112.00000        -1983.00000              55946                 66           -0.07224
         2114.00000        -1984.00000             112441                155           -0.05484
         2117.00000        -1975.00000               5941                 75           -0.01427
         2116.00000        -1984.00000             115449                500           -0.03692
         2108.00000        -1973.00000               5073                  1           -0.08158
         2113.00000        -1977.00000              18392                 26           -0.05443
         2118.00000        -1988.00000               4086                 43           -0.01639
         2112.00000        -1973.00000              13159                 16           -0.04984
         2116.00000        -1975.00000              10736                113           -0.02296
         2120.00000        -1976.00000               4743                 83            0.00959
         2119.00000        -1984.00000              46771                760           -0.00940
         2125.00000        -1980.00000                327                 30            0.04780
         2114.00000        -1979.00000             129984                139           -0.05048
         2119.00000        -1992.00000                112                  9           -0.00252
         2115.00000        -1989.00000               1655                  8           -0.04192
         2121.00000        -1980.00000              18272                801            0.01156
         2124.00000        -1981.00000                711                 86            0.03786
         2111.00000        -1987.00000                664                  5           -0.07881
         2115.00000        -1974.00000               3097                 87           -0.02846
         2128.00000        -1978.00000                 12                  4            0.07654
         2109.00000        -1974.00000              20913                  4           -0.07752
         2119.00000        -1979.00000              30283                548           -0.00540
         2114.00000        -1974.00000              10429                 91           -0.03688
         2111.00000        -1981.00000              64251                 30           -0.07937
         2111.00000        -1983.00000              37255                 31           -0.08069
         2113.00000        -1979.00000              83980                 80           -0.05916
         2118.00000        -1979.00000              36320                530           -0.01457
         2115.00000        -1980.00000             139186                537           -0.04342
         2127.00000        -1981.00000                 16                  2            0.06460
         2124.00000        -1976.00000                  3                  3            0.04493
         2120.00000        -1970.00000                  1                  1            0.02648
         2121.00000        -1975.00000                 99                  1            0.02075
         2126.00000        -1982.00000                133                  2            0.05503
         2105.00000        -1972.00000               1359                  1           -0.09948
         2116.00000        -1991.00000                  1                  1           -0.03026
         2114.00000        -1992.00000                  0                  1           -0.04578
         2126.00000        -1975.00000                  0                  1            0.06421
         2126.00000        -1978.00000                  4                  1            0.05914
         2124.00000        -1975.00000                 10                  1            0.04695
         2123.00000        -1987.00000                226                  1            0.02771
         2121.00000        -1974.00000                  5                  1            0.02322
